xflr5 v6.49

Plane name :, Datum
Polar name :, T1-50.0 ft/s-VLM2
Freestream speed :, 50.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.085193,   0.000691,   0.009729,   0.010420,   0.000104,   0.000015,   0.201218,  -0.000047,  -0.000047,   15.2400,    6.9187
   -1.500,     0.000,  -0.035101,   0.000445,   0.009704,   0.010148,   0.000104,   0.000014,   0.184304,  -0.000047,  -0.000047,   15.2400,   14.1709
   -1.000,     0.000,   0.015002,   0.000336,   0.009686,   0.010022,   0.000104,   0.000014,   0.166889,  -0.000047,  -0.000047,   15.2400,  -27.0204
   -0.500,     0.000,   0.065110,   0.000364,   0.009681,   0.010045,   0.000104,   0.000013,   0.148975,  -0.000047,  -0.000047,   15.2400,   -4.8117
    0.000,     0.000,   0.115215,   0.000529,   0.009683,   0.010212,   0.000103,   0.000013,   0.130568,  -0.000046,  -0.000046,   15.2400,   -1.9198
    0.500,     0.000,   0.165309,   0.000831,   0.009694,   0.010525,   0.000103,   0.000013,   0.111670,  -0.000046,  -0.000046,   15.2400,   -0.7808
    1.000,     0.000,   0.215386,   0.001270,   0.009696,   0.010966,   0.000103,   0.000012,   0.092282,  -0.000046,  -0.000046,   15.2400,   -0.1715
    1.500,     0.000,   0.265437,   0.001845,   0.009714,   0.011558,   0.000102,   0.000012,   0.072417,  -0.000046,  -0.000046,   15.2400,    0.2079
    2.000,     0.000,   0.315456,   0.002556,   0.009814,   0.012371,   0.000102,   0.000011,   0.052103,  -0.000045,  -0.000046,   15.2400,    0.4670
    2.500,     0.000,   0.365435,   0.003404,   0.009880,   0.013284,   0.000102,   0.000011,   0.031307,  -0.000045,  -0.000045,   15.2400,    0.6552
    3.000,     0.000,   0.415367,   0.004387,   0.009993,   0.014379,   0.000101,   0.000010,   0.010071,  -0.000045,  -0.000045,   15.2400,    0.7981
    3.500,     0.000,   0.465243,   0.005504,   0.010148,   0.015652,   0.000101,   0.000010,  -0.011607,  -0.000045,  -0.000045,   15.2400,    0.9105
    4.000,     0.000,   0.515058,   0.006756,   0.010360,   0.017116,   0.000100,   0.000009,  -0.033702,  -0.000044,  -0.000045,   15.2400,    1.0011
    4.500,     0.000,   0.564804,   0.008141,   0.010563,   0.018704,   0.000100,   0.000009,  -0.056244,  -0.000044,  -0.000044,   15.2400,    1.0758
    5.000,     0.000,   0.614473,   0.009658,   0.010772,   0.020429,   0.000099,   0.000008,  -0.079223,  -0.000044,  -0.000044,   15.2400,    1.1385
    5.500,     0.000,   0.664059,   0.011306,   0.010965,   0.022270,   0.000099,   0.000008,  -0.102641,  -0.000044,  -0.000044,   15.2400,    1.1919
    6.000,     0.000,   0.713553,   0.013084,   0.011174,   0.024257,   0.000098,   0.000008,  -0.126473,  -0.000043,  -0.000043,   15.2400,    1.2379
    6.500,     0.000,   0.762949,   0.014991,   0.011407,   0.026398,   0.000098,   0.000007,  -0.150713,  -0.000043,  -0.000043,   15.2400,    1.2781
    7.000,     0.000,   0.812240,   0.017025,   0.011645,   0.028669,   0.000097,   0.000007,  -0.175360,  -0.000043,  -0.000043,   15.2400,    1.3134
    7.500,     0.000,   0.861418,   0.019185,   0.011927,   0.031113,   0.000097,   0.000006,  -0.200389,  -0.000042,  -0.000042,   15.2400,    1.3448
    8.000,     0.000,   0.910477,   0.021470,   0.012224,   0.033694,   0.000096,   0.000006,  -0.225803,  -0.000042,  -0.000042,   15.2400,    1.3728


