xflr5 v6.49

Plane name :, Datum-3
Polar name :, T1-50.0 ft/s-VLM2
Freestream speed :, 50.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.107992,   0.001561,   0.009846,   0.011407,   0.000103,   0.000015,   0.344609,  -0.000046,  -0.000046,   15.2400,    9.1192
   -1.500,     0.000,  -0.057928,   0.001200,   0.009806,   0.011007,   0.000103,   0.000014,   0.328117,  -0.000046,  -0.000046,   15.2400,   15.4155
   -1.000,     0.000,  -0.007848,   0.000976,   0.009772,   0.010749,   0.000103,   0.000014,   0.311099,  -0.000046,  -0.000046,   15.2400,  102.0736
   -0.500,     0.000,   0.042240,   0.000889,   0.009752,   0.010640,   0.000102,   0.000013,   0.293566,  -0.000046,  -0.000046,   15.2400,  -16.7890
    0.000,     0.000,   0.092328,   0.000938,   0.009736,   0.010674,   0.000102,   0.000013,   0.275515,  -0.000046,  -0.000046,   15.2400,   -6.6844
    0.500,     0.000,   0.142410,   0.001123,   0.009731,   0.010854,   0.000102,   0.000012,   0.256955,  -0.000045,  -0.000046,   15.2400,   -3.6873
    1.000,     0.000,   0.192479,   0.001446,   0.009713,   0.011158,   0.000101,   0.000012,   0.237879,  -0.000045,  -0.000045,   15.2400,   -2.2497
    1.500,     0.000,   0.242525,   0.001905,   0.009708,   0.011613,   0.000101,   0.000011,   0.218304,  -0.000045,  -0.000045,   15.2400,   -1.4057
    2.000,     0.000,   0.292544,   0.002500,   0.009791,   0.012291,   0.000101,   0.000011,   0.198266,  -0.000045,  -0.000045,   15.2400,   -0.8503
    2.500,     0.000,   0.342526,   0.003230,   0.009836,   0.013066,   0.000100,   0.000011,   0.177720,  -0.000045,  -0.000045,   15.2400,   -0.4572
    3.000,     0.000,   0.392464,   0.004097,   0.009934,   0.014031,   0.000100,   0.000010,   0.156724,  -0.000044,  -0.000044,   15.2400,   -0.1642
    3.500,     0.000,   0.442352,   0.005098,   0.010096,   0.015193,   0.000100,   0.000010,   0.135294,  -0.000044,  -0.000044,   15.2400,    0.0628
    4.000,     0.000,   0.492181,   0.006233,   0.010311,   0.016544,   0.000099,   0.000009,   0.113421,  -0.000044,  -0.000044,   15.2400,    0.2437
    4.500,     0.000,   0.541945,   0.007502,   0.010521,   0.018022,   0.000099,   0.000009,   0.091080,  -0.000044,  -0.000044,   15.2400,    0.3914
    5.000,     0.000,   0.591637,   0.008903,   0.010733,   0.019636,   0.000098,   0.000008,   0.068276,  -0.000043,  -0.000043,   15.2400,    0.5143
    5.500,     0.000,   0.641248,   0.010436,   0.010932,   0.021368,   0.000098,   0.000008,   0.045012,  -0.000043,  -0.000043,   15.2400,    0.6182
    6.000,     0.000,   0.690772,   0.012099,   0.011144,   0.023243,   0.000097,   0.000007,   0.021308,  -0.000043,  -0.000043,   15.2400,    0.7072
    6.500,     0.000,   0.740202,   0.013891,   0.011382,   0.025274,   0.000097,   0.000007,  -0.002826,  -0.000042,  -0.000042,   15.2400,    0.7843
    7.000,     0.000,   0.789530,   0.015812,   0.011622,   0.027433,   0.000096,   0.000007,  -0.027393,  -0.000042,  -0.000042,   15.2400,    0.8519
    7.500,     0.000,   0.838749,   0.017859,   0.011907,   0.029766,   0.000096,   0.000006,  -0.052364,  -0.000042,  -0.000042,   15.2400,    0.9115
    8.000,     0.000,   0.887853,   0.020031,   0.012205,   0.032236,   0.000095,   0.000006,  -0.077745,  -0.000041,  -0.000041,   15.2400,    0.9646


