xflr5 v6.49

Plane name :, Datum+3
Polar name :, T1-50.0 ft/s-VLM2
Freestream speed :, 50.0 ft/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.062338,   0.000187,   0.009708,   0.009896,   0.000105,   0.000015,   0.057786,  -0.000048,  -0.000048,   15.2400,    3.1024
   -1.500,     0.000,  -0.012227,   0.000057,   0.009681,   0.009738,   0.000105,   0.000015,   0.040446,  -0.000048,  -0.000048,   15.2400,    8.2833
   -1.000,     0.000,   0.037891,   0.000064,   0.009659,   0.009723,   0.000105,   0.000014,   0.022619,  -0.000047,  -0.000047,   15.2400,   -0.2418
   -0.500,     0.000,   0.088010,   0.000208,   0.009649,   0.009858,   0.000105,   0.000014,   0.004319,  -0.000047,  -0.000047,   15.2400,    0.9426
    0.000,     0.000,   0.138122,   0.000490,   0.009646,   0.010135,   0.000104,   0.000013,  -0.014457,  -0.000047,  -0.000047,   15.2400,    1.2675
    0.500,     0.000,   0.188219,   0.000908,   0.009653,   0.010561,   0.000104,   0.000013,  -0.033697,  -0.000047,  -0.000047,   15.2400,    1.4195
    1.000,     0.000,   0.238296,   0.001463,   0.009649,   0.011112,   0.000104,   0.000012,  -0.053407,  -0.000047,  -0.000047,   15.2400,    1.5076
    1.500,     0.000,   0.288343,   0.002155,   0.009663,   0.011819,   0.000103,   0.000012,  -0.073569,  -0.000046,  -0.000046,   15.2400,    1.5652
    2.000,     0.000,   0.338354,   0.002983,   0.009758,   0.012742,   0.000103,   0.000011,  -0.094159,  -0.000046,  -0.000046,   15.2400,    1.6058
    2.500,     0.000,   0.388321,   0.003947,   0.009840,   0.013787,   0.000103,   0.000011,  -0.115174,  -0.000046,  -0.000046,   15.2400,    1.6360
    3.000,     0.000,   0.438237,   0.005046,   0.009976,   0.015022,   0.000102,   0.000010,  -0.136603,  -0.000046,  -0.000046,   15.2400,    1.6594
    3.500,     0.000,   0.488094,   0.006279,   0.010150,   0.016429,   0.000102,   0.000010,  -0.158457,  -0.000045,  -0.000045,   15.2400,    1.6782
    4.000,     0.000,   0.537886,   0.007647,   0.010383,   0.018030,   0.000101,   0.000009,  -0.180704,  -0.000045,  -0.000045,   15.2400,    1.6935
    4.500,     0.000,   0.587604,   0.009146,   0.010605,   0.019752,   0.000101,   0.000009,  -0.203380,  -0.000045,  -0.000045,   15.2400,    1.7063
    5.000,     0.000,   0.637243,   0.010778,   0.010831,   0.021609,   0.000100,   0.000008,  -0.226476,  -0.000045,  -0.000045,   15.2400,    1.7173
    5.500,     0.000,   0.686793,   0.012540,   0.011040,   0.023580,   0.000100,   0.000008,  -0.249990,  -0.000044,  -0.000044,   15.2400,    1.7267
    6.000,     0.000,   0.736249,   0.014432,   0.011264,   0.025696,   0.000099,   0.000008,  -0.273900,  -0.000044,  -0.000044,   15.2400,    1.7350
    6.500,     0.000,   0.785603,   0.016452,   0.011513,   0.027965,   0.000099,   0.000007,  -0.298194,  -0.000044,  -0.000044,   15.2400,    1.7423
    7.000,     0.000,   0.834848,   0.018599,   0.011765,   0.030364,   0.000098,   0.000007,  -0.322876,  -0.000043,  -0.000043,   15.2400,    1.7489
    7.500,     0.000,   0.883977,   0.020871,   0.012064,   0.032934,   0.000098,   0.000006,  -0.347918,  -0.000043,  -0.000043,   15.2400,    1.7549
    8.000,     0.000,   0.932983,   0.023266,   0.012374,   0.035640,   0.000097,   0.000006,  -0.373326,  -0.000043,  -0.000043,   15.2400,    1.7603


